user_id,date,calories_expenditure,total_steps,total_intensity,average_intensity,average_metabolicEquivalent,sleep_mins,drowsy_mins,awake_mins,totalBed_time
1503960366,2016-03-12,2228,19675,596,0.662222133333333,1.94,,,,
1503960366,2016-03-13,2100,17106,557,0.515740777777778,1.83,411,0,15,426
1503960366,2016-03-14,1830,10023,369,0.341666666666667,1.59,354,5,27,386
1503960366,2016-03-15,2111,15384,495,0.375000090909091,1.84,312,7,16,335
1503960366,2016-03-16,1967,13498,434,0.401852,1.71,333,5,28,366
1503960366,2016-03-17,2039,14027,435,0.3625,1.78,402,1,34,437
1503960366,2016-03-18,2002,14544,414,0.34499995,1.74,379,6,26,411
1503960366,2016-03-19,2057,15424,473,0.414912315789474,1.79,447,1,20,468
1503960366,2016-03-20,2096,15128,461,0.4802083125,1.83,469,0,7,476
1503960366,2016-03-21,1846,10020,344,0.301754315789474,1.62,390,7,30,427
1503960366,2016-03-22,2014,15136,394,0.410416625,1.78,,,,
1503960366,2016-03-23,1966,13532,423,0.3525,1.73,281,3,13,297
1503960366,2016-03-24,1991,13188,461,0.365872952380952,1.75,303,4,37,344
1503960366,2016-03-25,1819,11004,328,0.27333345,1.6,351,3,32,386
1503960366,2016-03-26,2154,17609,575,0.532407333333333,1.9,437,4,31,472
1503960366,2016-03-27,1943,12736,446,0.391228,1.71,483,4,19,506
1503960366,2016-03-28,1931,13231,381,0.352777888888889,1.7,73,0,4,77
1503960366,2016-03-29,1887,12041,383,0.31916675,1.66,349,4,25,378
1503960366,2016-03-30,1819,10970,339,0.3531250625,1.6,,,,
1503960366,2016-03-31,1890,12196,362,0.317543894736842,1.66,308,1,27,336
1503960366,2016-04-01,1865,12208,383,0.303968238095238,1.64,283,4,19,306
1503960366,2016-04-02,1844,11248,386,0.32166665,1.62,439,12,58,509
1503960366,2016-04-03,1851,10016,419,0.332539666666667,1.63,379,7,40,426
1503960366,2016-04-04,2037,14538,450,0.340909136363636,1.79,294,12,31,337
1503960366,2016-04-05,2081,14844,485,0.367424272727273,1.84,280,5,24,309
1503960366,2016-04-06,1859,11974,333,0.292105210526316,1.64,,,,
1503960366,2016-04-07,1753,10198,286,0.2979166875,1.55,,,,
1503960366,2016-04-08,1893,12521,394,0.386274529411765,1.67,,,,
1503960366,2016-04-09,1884,12432,374,0.283333454545455,1.66,380,3,24,407
1503960366,2016-04-10,1757,10057,326,0.3395833125,1.55,455,2,21,478
